match,inning,over,batter,bowler,non_striker,runs_batter,extras,total
"['India', 'England']",1,0,RG Sharma,DJ Willey,Shubman Gill,0,0,0
"['India', 'England']",1,0,RG Sharma,DJ Willey,Shubman Gill,0,0,0
"['India', 'England']",1,0,RG Sharma,DJ Willey,Shubman Gill,0,0,0
"['India', 'England']",1,0,RG Sharma,DJ Willey,Shubman Gill,0,0,0
"['India', 'England']",1,0,RG Sharma,DJ Willey,Shubman Gill,0,0,0
"['India', 'England']",1,0,RG Sharma,DJ Willey,Shubman Gill,0,0,0
"['India', 'England']",1,1,Shubman Gill,CR Woakes,RG Sharma,0,0,0
"['India', 'England']",1,1,Shubman Gill,CR Woakes,RG Sharma,0,0,0
"['India', 'England']",1,1,Shubman Gill,CR Woakes,RG Sharma,4,0,4
"['India', 'England']",1,1,Shubman Gill,CR Woakes,RG Sharma,0,0,0
"['India', 'England']",1,1,Shubman Gill,CR Woakes,RG Sharma,0,0,0
"['India', 'England']",1,1,Shubman Gill,CR Woakes,RG Sharma,0,0,0
"['India', 'England']",1,2,RG Sharma,DJ Willey,Shubman Gill,0,0,0
"['India', 'England']",1,2,RG Sharma,DJ Willey,Shubman Gill,4,0,4
"['India', 'England']",1,2,RG Sharma,DJ Willey,Shubman Gill,6,0,6
"['India', 'England']",1,2,RG Sharma,DJ Willey,Shubman Gill,1,0,1
"['India', 'England']",1,2,Shubman Gill,DJ Willey,RG Sharma,1,0,1
"['India', 'England']",1,2,RG Sharma,DJ Willey,Shubman Gill,6,0,6
"['India', 'England']",1,3,Shubman Gill,CR Woakes,RG Sharma,2,0,2
"['India', 'England']",1,3,Shubman Gill,CR Woakes,RG Sharma,0,0,0
"['India', 'England']",1,3,Shubman Gill,CR Woakes,RG Sharma,0,0,0
"['India', 'England']",1,3,Shubman Gill,CR Woakes,RG Sharma,0,0,0
"['India', 'England']",1,3,Shubman Gill,CR Woakes,RG Sharma,2,0,2
"['India', 'England']",1,3,Shubman Gill,CR Woakes,RG Sharma,0,0,0
"['India', 'England']",1,4,RG Sharma,DJ Willey,V Kohli,0,0,0
"['India', 'England']",1,4,RG Sharma,DJ Willey,V Kohli,1,0,1
"['India', 'England']",1,4,V Kohli,DJ Willey,RG Sharma,0,0,0
"['India', 'England']",1,4,V Kohli,DJ Willey,RG Sharma,0,0,0
"['India', 'England']",1,4,V Kohli,DJ Willey,RG Sharma,0,0,0
"['India', 'England']",1,4,V Kohli,DJ Willey,RG Sharma,0,0,0
"['India', 'England']",1,5,RG Sharma,CR Woakes,V Kohli,0,0,0
"['India', 'England']",1,5,RG Sharma,CR Woakes,V Kohli,0,0,0
"['India', 'England']",1,5,RG Sharma,CR Woakes,V Kohli,0,0,0
"['India', 'England']",1,5,RG Sharma,CR Woakes,V Kohli,0,0,0
"['India', 'England']",1,5,RG Sharma,CR Woakes,V Kohli,0,0,0
"['India', 'England']",1,5,RG Sharma,CR Woakes,V Kohli,0,0,0
"['India', 'England']",1,6,V Kohli,DJ Willey,RG Sharma,0,0,0
"['India', 'England']",1,6,V Kohli,DJ Willey,RG Sharma,0,0,0
"['India', 'England']",1,6,V Kohli,DJ Willey,RG Sharma,0,0,0
"['India', 'England']",1,6,V Kohli,DJ Willey,RG Sharma,0,0,0
"['India', 'England']",1,6,V Kohli,DJ Willey,RG Sharma,0,0,0
"['India', 'England']",1,6,SS Iyer,DJ Willey,RG Sharma,1,0,1
"['India', 'England']",1,7,SS Iyer,CR Woakes,RG Sharma,1,0,1
"['India', 'England']",1,7,RG Sharma,CR Woakes,SS Iyer,0,0,0
"['India', 'England']",1,7,RG Sharma,CR Woakes,SS Iyer,0,0,0
"['India', 'England']",1,7,RG Sharma,CR Woakes,SS Iyer,0,0,0
"['India', 'England']",1,7,RG Sharma,CR Woakes,SS Iyer,2,0,2
"['India', 'England']",1,7,RG Sharma,CR Woakes,SS Iyer,0,0,0
